Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
430,7003,32,Under 35,M,4320,4433,8753,113,0.026157407,58.472,73.67,43.25,42.2539998,56.12,32.27,49.6047502,63.845,40.977497
235,2135,30,Under 35,M,4219,4535,8754,316,0.074899265,53.96150113,70.371506,37.9715,38.2655,51.1115,31.9415,45.3922498,58.232746,36.512753
245,47304,30,Under 35,M,4351,4412,8763,61,0.014019766,62.9021,76.8281,41.9981,43.93610007,55.4981,25.9781,52.09484893,64.580605,37.2581
229,90704,37,35-39,M,4250,4527,8777,277,0.065176471,61.68409987,72.5081,53.968098,50.7760994,55.768097,45.5081,55.64184853,62.019352,50.994354
268,43017,31,Under 35,M,4285,4502,8787,217,0.050641774,63.26119973,77.1872,43.7972,45.19520013,57.6572,29.7572,52.9839496,64.5122,39.574696
59,80503,41,40-44,M,4281,4535,8816,254,0.059331932,65.32459947,78.7946,53.0546,33.06859993,37.8446,26.5046,47.14060007,56.1671,39.550846
275,75212,31,Under 35,M,4361,4458,8819,97,0.022242605,78.23929967,83.2793,68.6093,57.42529993,68.0693,47.999302,66.63504727,74.59429,58.4543
309,2139,31,Under 35,M,4335,4488,8823,153,0.035294118,54.18379947,70.593796,38.1938,38.48779967,51.333797,32.1638,45.6145492,58.455044,36.73505
250,48324,46,45-49,M,4270,4554,8824,284,0.066510539,57.6350002,75.029,44.249,38.621,47.759,31.649,47.35525,57.659,37.87025
273,54481,35,35-39,M,4264,4570,8834,306,0.071763602,53.5280002,70.97,34.52,35.552,48.02,25.52,43.89674893,61.516247,33.30125
117,2155,31,Under 35,F,4353,4481,8834,128,0.029405008,53.62790013,70.6559,38.1659,38.4839,49.5959,32.4059,45.36415033,57.868404,36.560894
117,2155,31,Under 35,F,6733,7199,13932,466,0.069211347,53.62790013,70.6559,38.1659,38.4839,49.5959,32.4059,45.36415033,57.868404,36.560894
1116,15632,28,Under 35,M,4355,4487,8842,132,0.030309989,61.51310013,73.7411,41.9711,42.8591002,55.5611,26.7611,50.43509953,60.672348,37.144848
351,78705,27,Under 35,M,4326,4520,8846,194,0.044845123,81.032,87.566,77.036,60.1940008,68.576004,50.756,68.98950107,75.1085,61.852253
620,10024,31,Under 35,M,4423,4425,8848,2,0.000452182,58.69400033,74.696,43.466,42.3979996,55.526,34.376,49.6137506,64.18851,41.02475
434,80634,25,Under 35,M,4392,4461,8853,69,0.015710383,68.02339987,80.1554,54.9554,36.15739973,43.5254,28.225399,50.82464927,65.0729,43.1129
294,2142,29,Under 35,M,4326,4528,8854,202,0.046694406,54.2656998,70.6757,38.2757,38.5697,51.4157,32.2457,45.69644993,58.536945,36.81695
280,1803,37,35-39,M,4293,4565,8858,272,0.063358956,54.12439973,70.5164,36.0464,37.3484,49.1864,30.8264,45.0231488,57.537643,34.932655
429,53202,25,Under 35,M,4271,4587,8858,316,0.073987357,54.4172002,73.1372,38.4872,39.05720007,60.447197,29.3972,45.9799498,64.335945,35.63345
