Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change
16297,77096,33,Under 35,F,6901.00,7504.00,14405.00,603.00,0.087378641
1319,2143,26,Under 35,M,6902.00,7503.00,14405.00,601.00,0.08707621
29114,2143,27,Under 35,F,6902.00,7504.00,14406.00,602.00,0.087221095
24558,2114,31,Under 35,F,6347.00,8059.00,14406.00,1712.00,0.269733732
20728,76109,69,65-69,M,6756.00,7650.00,14406.00,894.00,0.132326821
2961,45373,30,Under 35,M,5313.00,9094.00,14407.00,3781.00,0.711650668
28328,1748,36,35-39,F,7447.00,6961.00,14408.00,-486.00,-0.065261179
8785,44012,46,45-49,M,6188.00,8221.00,14409.00,2033.00,0.328539108
19785,11104,50,50-54,F,6707.00,7702.00,14409.00,995.00,0.148352468
18361,90020,52,50-54,F,6646.00,7763.00,14409.00,1117.00,0.16807102
24786,2129,37,35-39,M,7460.00,6950.00,14410.00,-510.00,-0.068364611
19504,60084,60,60-64,M,6670.00,7741.00,14411.00,1071.00,0.160569715
20232,2760,45,45-49,F,6725.00,7687.00,14412.00,962.00,0.143048327
10774,37122,49,45-49,M,5597.00,8815.00,14412.00,3218.00,0.574950867
16744,21043,42,40-44,F,6562.00,7852.00,14414.00,1290.00,0.196586407
27541,10003,28,Under 35,M,6909.00,7505.00,14414.00,596.00,0.086264293
20132,32205,48,45-49,F,5799.00,8616.00,14415.00,2817.00,0.485773409
26733,48323,26,Under 35,F,7253.00,7162.00,14415.00,-91.00,-0.012546532
17923,94121,37,35-39,F,6635.00,7780.00,14415.00,1145.00,0.172569706
24950,2341,25,Under 35,F,6860.00,7556.00,14416.00,696.00,0.101457726
20150,96146,47,45-49,F,6915.00,7501.00,14416.00,586.00,0.084743312
27004,84003,52,50-54,F,6937.00,7479.00,14416.00,542.00,0.078131757
17211,37187,35,35-39,F,6831.00,7586.00,14417.00,755.00,0.110525545
2857,13041,23,Under 35,M,4912.00,9505.00,14417.00,4593.00,0.935057003
24317,1776,58,55-59,M,6759.00,7658.00,14417.00,899.00,0.133007841
21657,19152,68,65-69,F,6570.00,7847.00,14417.00,1277.00,0.194368341
16096,14604,26,Under 35,F,6645.00,7773.00,14418.00,1128.00,0.169751693
21656,2141,55,55-59,F,6901.00,7518.00,14419.00,617.00,0.089407332
17117,11237,38,35-39,F,6582.00,7837.00,14419.00,1255.00,0.190671528
12628,84102,23,Under 35,F,6108.00,8312.00,14420.00,2204.00,0.360838245
14913,2135,26,Under 35,F,5962.00,8459.00,14421.00,2497.00,0.418819188
19485,30269,43,40-44,F,6591.00,7830.00,14421.00,1239.00,0.187983614
22465,55441,67,65-69,M,6577.00,7844.00,14421.00,1267.00,0.192641022
15852,10035,57,55-59,F,6836.00,7587.00,14423.00,751.00,0.109859567
18044,77316,43,40-44,F,6646.00,7777.00,14423.00,1131.00,0.17017755
24139,3258,36,35-39,F,6703.00,7721.00,14424.00,1018.00,0.151872296
7982,80132,57,55-59,F,6792.00,7633.00,14425.00,841.00,0.123822144
10651,2360,49,45-49,M,5989.00,8436.00,14425.00,2447.00,0.408582401
7984,2446,46,45-49,F,6731.00,7694.00,14425.00,963.00,0.14306938
16753,35213,41,40-44,F,6464.00,7962.00,14426.00,1498.00,0.23174505
22816,7082,63,60-64,F,7134.00,7293.00,14427.00,159.00,0.022287637
20643,75075,57,55-59,F,6948.00,7480.00,14428.00,532.00,0.076568797
22050,19606,50,50-54,F,7035.00,7393.00,14428.00,358.00,0.050888415
5760,13148,26,Under 35,F,5606.00,8823.00,14429.00,3217.00,0.573849447
18809,77581,40,40-44,F,6542.00,7887.00,14429.00,1345.00,0.205594619
8299,60189,59,55-59,M,6931.00,7499.00,14430.00,568.00,0.081950656
23292,36604,60,60-64,F,7049.00,7383.00,14432.00,334.00,0.047382607
21981,91011,57,55-59,F,6727.00,7706.00,14433.00,979.00,0.145532927
29170,2067,43,40-44,M,6358.00,8075.00,14433.00,1717.00,0.270053476
12300,91006,52,50-54,F,6602.00,7831.00,14433.00,1229.00,0.18615571
22224,53703,50,50-54,F,6934.00,7499.00,14433.00,565.00,0.08148255
22391,19460,65,65-69,M,6910.00,7523.00,14433.00,613.00,0.088712012
28277,2054,20,Under 35,M,6763.00,7671.00,14434.00,908.00,0.134259944
20778,1760,60,60-64,M,6298.00,8138.00,14436.00,1840.00,0.29215624
21700,44432,57,55-59,F,6702.00,7734.00,14436.00,1032.00,0.153983885
15500,92101,59,55-59,M,6221.00,8215.00,14436.00,1994.00,0.320527246
15564,3844,28,Under 35,F,6554.00,7882.00,14436.00,1328.00,0.202624352
22386,38133,59,55-59,F,6852.00,7586.00,14438.00,734.00,0.107122008
17807,94123,55,55-59,M,6335.00,8103.00,14438.00,1768.00,0.279084451
7998,8085,46,45-49,F,6743.00,7696.00,14439.00,953.00,0.141331751
24166,2127,29,Under 35,F,7172.00,7268.00,14440.00,96.00,0.013385388
21542,19139,48,45-49,F,6850.00,7590.00,14440.00,740.00,0.108029197
22773,21668,58,55-59,F,7021.00,7419.00,14440.00,398.00,0.056687082
1195,40205,40,40-44,M,6378.00,8062.00,14440.00,1684.00,0.264032612
19241,40205,41,40-44,F,6378.00,8062.00,14440.00,1684.00,0.264032612
26885,7604,37,35-39,M,6558.00,7882.00,14440.00,1324.00,0.20189082
28159,1827,35,35-39,M,6915.00,7526.00,14441.00,611.00,0.088358641
20664,84302,62,60-64,M,6638.00,7803.00,14441.00,1165.00,0.17550467
22695,41017,66,65-69,M,7032.00,7409.00,14441.00,377.00,0.053612059
28250,60707,39,35-39,M,6456.00,7986.00,14442.00,1530.00,0.236988848
21911,95020,53,50-54,F,6923.00,7520.00,14443.00,597.00,0.086234291
